Topic,Count,Representation,ESG_Categories
41,66,"['agreements', 'commercial agreements', 'treaties', 'bargaining agreements', 'agreement', 'management agreements', 'bargaining', 'collective bargaining', 'entered', 'collective', 'governing agreements', 'negotiated']",['Social']
66,53,"['including including', 'including', 'prepay', 'notably', 'search', 'email', 'pii', 'inclusion', 'physical', 'include', 'methods', 'includes']",['Social']
81,48,"['compliance costs', 'compliance', 'legal financial', 'expenses comply', 'administrative compliance', 'activities time', 'costs', 'significant expenses', 'regulations cause', 'increased costs', 'unpatented mining', 'costs liabilities']",['Governance']
84,47,"['disclosure', 'disclosures', 'disclosed', 'disclose', 'governance', 'filed', 'disclosure reporting', 'information tax', 'public disclosure', 'qualitative', 'quantitative qualitative', 'standards relating']",['Governance']
88,45,"['environmental', 'carbon', 'emissions', 'environmental protection', 'environment environmental', 'chemicals', 'hazardous', 'environmental matters', 'toxic', 'gases', 'air', 'hazardous materials']",['Environmental']
136,36,"['regulations regulations', 'regulations', 'regulations standards', 'standards regulations', 'standards', 'environmental protection', 'policies regulations', 'gcp regulations', 'regulations toxic', 'standards concerning', 'regulatory standards', 'protection regulations']",['Governance']
150,34,"['weather', 'weather conditions', 'catastrophic', 'catastrophic events', 'climate', 'climate change', 'disasters', 'natural', 'extreme', 'natural disasters', 'events', 'unforeseen events']",['Environmental']
158,33,"['telecommunications', 'cloud provider', 'regulatory compliance', 'relating internet', 'changes developments', 'regulation internet', 'failures adversely', 'developments united', 'provider companies', 'providers cloud', 'law guidance', 'government regulation']",['Governance']
175,32,"['eu eu', 'eu', 'european union', 'union', 'union eu', 'european', 'coalition', 'coalition member', 'represents coalition', 'oecd', 'member', 'excluding']",['Social']
182,31,"['manage growth', 'able manage', 'growth', 'manage', 'growth effectively', 'effectively manage', 'effectively', 'organic growth', 'organic', 'achieving', 'growth strategy', 'fail manage']",['Environmental']
189,31,"['privacy', 'privacy data', 'regarding privacy', 'privacy laws', 'regulations regarding', 'data privacy', 'security laws', 'foreign laws', 'laws regulations', 'protect privacy', 'existing laws', 'related laws']",['Governance']
214,28,"['protection regulation', 'general data', 'gdpr', 'regulation gdpr', 'data protection', 'european union', 'union', 'european', 'regulation', 'protection', 'general', 'data']","['Social', 'Governance']"
215,28,"['investor confidence', 'confidence', 'investor', 'lose confidence', 'investors lose', 'accuracy completeness', 'accuracy', 'completeness', 'financial reports', 'employee retention', 'lose', 'financial information']",['Social']
226,27,"['margins', 'gross', 'gross margins', 'vary time', 'vary', 'gross margin', 'sustainable', 'margin', 'fluctuations gross', 'margins operating', 'affected numerous', 'factors expect']",['Environmental']
239,27,"['disposal', 'hazardous', 'disposal hazardous', 'hazardous materials', 'hazardous substances', 'waste', 'substances', 'clean', 'materials', 'recycling', 'disposing', 'sites']",['Environmental']
241,27,"['business business', 'business businesses', 'ethics business', 'business ethics', 'today', 'ethics', 'business combinations', 'combinations', 'business', 'commercial', 'businesses', '']",['Governance']
250,26,"['taxes', 'taxes tax', 'goods services', 'sales taxes', 'taxes net', 'fuel energy', 'taxes royalties', 'tax resident', 'excise', 'taxation tax', 'carbon', 'royalties']",['Environmental']
252,26,"['safety', 'health safety', 'safety health', 'health', 'product safety', 'safe', 'workplace', 'focus business', 'efforts focus', 'eliminate risk', 'emergency', 'procedures company']",['Social']
268,24,"['loan', 'security agreement', 'energy capital', 'loan security', 'capital loan', 'steward', 'steward capital', 'energy', 'agreement', 'term loans', 'capital energy', 'term loan']",['Environmental']
291,23,"['officers', 'officers employees', 'law enforcement', 'continue establish', 'field teams', 'expert', 'officer', 'education', 'affairs', 'teams', 'enforcement', 'initiate']",['Social']
294,22,"['medical community', 'patients', 'community', 'physicians', 'dr', 'physician', 'medical', 'patient', 'native', 'settings', 'referral', 'patients physicians']",['Social']
318,22,"['compensation', 'based compensation', 'share based', 'stock based', 'compensation expense', 'operating executive', 'cost sharing', 'commissioner', 'compensation program', 'sharing arrangement', 'sharing', 'compensation committee']",['Governance']
319,22,"['uk', 'european union', 'union', 'exit', 'referendum', 'eu', 'european', 'voted', 'withdrawal', 'electorate', 'withdraw european', 'voters']",['Social']
329,21,"['written consent', 'consent', 'stockholder approval', 'written', 'shareholder approval', 'stockholder action', 'stockholder', 'shareholder', 'directors stockholder', 'stockholders consider', 'board directors', 'directors']",['Governance']
350,21,"['financial reporting', 'internal', 'internal control', 'control financial', 'controls procedures', 'disclosure controls', 'reporting', 'controls financial', 'controls', 'internal controls', 'procedures internal', 'procedures']",['Governance']
355,20,"['expend significant', 'expend', 'significant additional', 'change laws', 'security problems', 'cybersecurity', 'upgrade', 'eliminate', 'security', 'remediating', 'incur significant', 'significant costs']",['Governance']
358,20,"['education', '', '', '', '', '', '', '', '', '', '', '']",['Social']
379,20,"['board', 'board directors', 'directors', 'chairman', 'directors ability', 'chairman board', 'ability board', 'certain current', 'current members', 'current officers', 'arcc board', 'directors considers']",['Governance']
389,19,"['decommissioning', 'divest', 'dispose', 'properties', 'reclaim', 'dispose assets', 'reclamation', 'decommissioning nuclear', 'forced dispose', 'subject costs', 'unsuccessful investments', 'reuse']",['Environmental']
394,19,"['floods', 'flooding', 'number facilities', 'certain number', 'located near', 'severe weather', 'facilities located', 'severe', 'near', 'weather', 'located', 'experienced']",['Environmental']
412,19,"['accounting', 'accounting financial', 'processing systems', 'data processing', 'financial reporting', 'reporting', 'accounting business', 'accounting reporting', 'additional accounting', 'staff accounting', 'impact accounting', 'financial functions']",['Governance']
