Topic,Count,Representation,ESG_Categories
30,96,"['funds', 'private equity', 'portfolio', 'funds invest', 'portfolio company', 'private', 'performance funds', 'equity group', 'group funds', 'invest']",['Environmental']
78,54,"['disasters', 'natural', 'natural disasters', 'disasters natural', 'natural disaster', 'disaster', 'natural manmade', 'significant natural', 'manmade', 'manmade disasters']",['Environmental']
88,51,"['business business', 'buildings businesses', 'public buildings', 'buildings', 'businesses business', 'business public', 'business businesses', 'business', 'business atlassian', 'atlassian']",['Environmental']
92,49,"['hospitals', 'care providers', 'care', 'health care', 'health', 'physicians', 'hospitals health', 'physician', 'health service', 'medical community']","['Environmental', 'Social']"
105,46,"['regulations regulations', 'regulations', '', '', '', '', '', '', '', '']","['Environmental', 'Governance']"
107,45,"['capital expenditures', 'expenditures', 'expenditures capital', 'spending capital', 'capital', 'expenses readily', 'readily apparent', 'apparent sources', 'expenditure significant', 'including capital']","['Environmental', 'Social']"
118,43,"['technology technologies', 'technologies technology', 'technologies technologies', 'technologies', 'technology technology', 'technology', 'approach technology', 'technologies use', 'technologies products', 'approach']","['Environmental', 'Social']"
154,37,"['additional capital', 'capital', 'capital structure', 'raise', 'raise additional', 'capital available', 'need additional', 'structure', 'capital expand', 'capital raise']","['Environmental', 'Social', 'Governance']"
181,32,"['construction construction', 'construction', 'development construction', 'constructing', 'architecture', 'building', 'construction based', 'assembled', 'architecture assembled', 'assembled structure']",['Environmental']
183,32,"['development development', 'develop develop', 'development develop', 'develop development', 'development', 'develop', 'developing develop', 'develop developing', 'development developing', 'developing development']","['Environmental', 'Social']"
196,30,"['floods', 'flood', 'hurricanes', 'floods flood', 'flood floods', 'flooding', 'flood flood', 'typhoons floods', 'typhoons', 'floods hurricanes']",['Environmental']
204,30,"['disposal', 'hazardous', 'waste', 'wastes', 'hazardous materials', 'disposal hazardous', 'substances wastes', 'emissions', 'hazardous substances', 'substances']",['Environmental']
219,28,"['audits', 'regulatory audits', 'audit', 'audits investigations', 'administrative processes', 'contractors administrative', 'routinely investigate', 'governments routinely', 'audit government', 'investigate audit']","['Environmental', 'Governance']"
283,24,"['weather', 'weather conditions', 'extreme weather', 'extreme', 'inclement', 'adverse weather', 'drought', 'flooding', 'inclement weather', 'weather inclement']",['Environmental']
312,22,"['environmental', 'environmental laws', 'environmental legislation', 'laws environmental', 'international environmental', 'stricter standards', 'federal international', 'climate change', 'legislation', 'climate']",['Environmental']
348,21,"['financial financial', 'financial finance', 'finance including', 'including financial', 'planning financial', 'fiduciary financial', 'financial fiduciary', 'financial planning', 'finance', 'financial']",['Environmental']
388,20,"['resources resources', 'resources', 'result distance', 'distance', 'foreign operations', 'operations result', 'travel available', 'address resources', 'varying foreign', 'simultaneously managing']",['Environmental']
