Topic,Count,Representation,ESG_Categories
7,245,"['existing laws', 'new laws', 'laws regulations', 'interpretations', 'regulations', 'regulations new', 'changes laws', 'laws', 'existing regulations', 'regulations changes']","['Environmental', 'Governance']"
15,170,"['cyberattacks', 'attacks', 'cyber', 'cybersecurity', 'threats', 'unauthorized access', 'sabotage', 'access sabotage', 'target cyberattacks', 'cyber threats']",['Governance']
33,104,"['internal control', 'control financial', 'financial reporting', 'reporting', 'internal', 'disclosure controls', 'weaknesses', 'effective internal', 'material weaknesses', 'material weakness']",['Governance']
38,91,"['risks described', 'risks risks', 'addition risks', 'risks', 'risks actually', 'materialize', 'described', 'described section', 'actually', 'risks materialize']",['Governance']
42,88,"['regulations regulations', 'regulations', 'regulation regulations', 'regulations regulation', 'regulated regulations', 'regulations regulated', 'regulated', 'regulation', 'directives regulations', 'regulations transparency']","['Environmental', 'Governance']"
45,87,"['breaches', 'security breaches', 'breaches security', 'security breach', 'security', 'breach', 'breaches data', 'actual perceived', 'data breaches', 'breach security']",['Governance']
47,85,"['compliance costs', 'compliance', 'costs compliance', 'financial compliance', 'legal financial', 'expenses effort', 'additional costs', 'increased compliance', 'effort comply', 'associated compliance']","['Social', 'Governance']"
53,78,"['privacy', 'relating privacy', 'data privacy', 'privacy laws', 'privacy security', 'privacy data', 'regarding privacy', 'data protection', 'regulations relating', 'global privacy']",['Governance']
58,75,"['regulatory requirements', 'requirements regulatory', 'compliance', 'compliance applicable', 'laws regulatory', 'compliance laws', 'policies procedures', 'requirements compliance', 'ensure compliance', 'procedures designed']","['Social', 'Governance']"
73,68,"['board directors', 'directors', 'board', 'including election', 'election', 'directors including', 'election directors', 'vacancies board', 'vacancies', 'majority board']",['Governance']
74,68,"['reputation', 'reputation damaged', 'reputation harmed', 'harm reputation', 'affect reputation', 'damaged', 'reputation reputation', 'reputation suffer', 'reputation harm', 'reputational']",['Governance']
113,54,"['security security', 'security network', 'network security', 'security', 'information security', 'web application', 'security information', 'firewalls', 'consumption computing', 'code resulted']",['Governance']
129,50,"['security measures', 'designed protect', 'systems processes', 'developed systems', 'protect data', 'processes designed', 'security', 'implemented security', 'information security', 'data prevent']",['Governance']
155,44,"['reputation brand', 'brand', 'brand reputation', 'brand harm', 'reputation', 'damage brand', 'harm brand', 'harm reputation', 'brand damage', 'publicity harm']",['Governance']
180,39,"['termination', 'termination contracts', 'early termination', 'early', 'contract termination', 'contracts termination', 'including termination', 'contracts', 'termination contract', 'terminations']",['Governance']
181,38,"['reputation reputation', 'reputation', 'reputation reputational', 'reputation reward', 'reputational reputation', 'reward reputation', 'reward', 'reputational', '', '']",['Governance']
184,38,"['protection data', 'data protection', 'protection', 'data', 'foreign data', 'protection foreign', 'protection net', 'neutrality data', 'information protection', 'protection information']","['Social', 'Governance']"
187,38,"['privacy privacy', 'privacy', 'privacy personal', 'personal privacy', 'data privacy', 'privacy data', 'rights privacy', 'privacy video', 'privacy user', 'privacy advocates']",['Governance']
196,37,"['accounting standards', 'accounting', 'revised accounting', 'accounting principles', 'new revised', 'changes accounting', 'revised', 'principles', 'accepted accounting', 'accounting pronouncements']",['Governance']
210,36,"['monitoring', 'performance monitoring', 'infrastructure monitoring', 'application performance', 'experience monitoring', 'monitoring network', 'network performance', 'user experience', 'events day', 'trillion events']",['Governance']
217,35,"['industry standards', 'standards industry', 'standards', 'technology standards', 'technical standards', 'differing technology', 'standards standards', 'industry', 'standards applicable', 'facilitate product']","['Social', 'Governance']"
229,34,"['conflicts', 'potential conflicts', 'conflicts arise', 'allocation', 'opportunities funds', 'potential conflict', 'investment opportunities', 'arise', 'coinvestors', 'conflict']",['Governance']
230,34,"['tax audits', 'audits', 'examination', 'revenue service', 'tax returns', 'tax authorities', 'returns internal', 'internal revenue', 'examination income', 'audits various']","['Environmental', 'Governance']"
238,33,"['policies policies', 'policies', 'announced policies', 'policies announced', 'guidelines policies', 'policy', 'new unclear', 'including policy', 'includes policies', 'treatment guidelines']","['Social', 'Governance']"
247,33,"['metrics', 'family metrics', 'family', 'inaccuracies', 'discover material', 'material inaccuracies', 'metrics estimates', 'technical errors', 'inaccuracies metrics', 'discover']",['Governance']
252,32,"['culture', 'corporate culture', 'company culture', 'culture grow', 'maintain corporate', 'aspects culture', 'contributor success', 'culture maintain', 'grow believe', 'maintain company']","['Social', 'Governance']"
259,32,"['disclosure data', 'corruption data', 'improper access', 'misuse', 'access disclosure', 'corruption', 'confidential', 'data misuse', 'data improper', 'loss unauthorized']",['Governance']
260,32,"['analysts investors', 'securities analysts', 'analysts', 'fall expectations', 'expectations securities', 'operations fall', 'expectations', 'fall', 'investors securities', 'investors']",['Governance']
281,30,"['antibribery', 'antibribery laws', 'laws antibribery', 'antibribery antibribery', 'antibribery bribery', 'bribery antibribery', 'bribery', 'anticorruption antibribery', 'antibribery anticorruption', 'bribery laws']",['Governance']
295,29,"['damage customer', 'reputation adversely', 'reputation', 'customers damage', 'damage', 'customer relationships', 'damage reputation', 'harm reputation', 'claims damage', 'harm relationship']",['Governance']
304,29,"['changes changes', 'proposed changes', 'changes including', 'evaluations', 'replacing change', 'applicable particularly', 'result transacts', 'changes favorable', 'changes considering', 'changes number']",['Governance']
324,28,"['reputation damage', 'damage reputation', 'damage', 'reputation', 'reputation harm', 'harm reputation', 'remedy damage', 'reputation damaging', 'reputation harming', 'reputation harmful']",['Governance']
336,27,"['maintain effective', 'failure maintain', 'control financial', 'internal control', 'financial reporting', 'reporting', 'result restatement', 'restatement financial', 'effective internal', 'restatement']",['Governance']
337,27,"['liabilities liabilities', 'liabilities', 'liabilities businesses', 'responsibility liabilities', 'relating arising', 'liabilities relating', 'responsibility', 'businesses acquire', '30table contentsincur', 'acquire unanticipated']","['Social', 'Governance']"
362,26,"['sec', 'filings sec', 'filings', 'executive financial', 'periods specified', 'financial officers', 'communicated principal', 'rules forms', 'reports exchange', 'forms information']",['Governance']
388,25,"['protection consumer', 'consumer protection', 'consumer', 'protection', '1991', '1991 consumer', 'protection continued', 'significant collaboration', 'agencies consumer', 'act 1991']","['Social', 'Governance']"
451,23,"['security data', 'data security', 'security encryption', 'encryption data', 'security', 'encryption', 'obtain encryption', 'security obtain', 'keys data', 'data']",['Governance']
