Topic,Count,Name,Representation,Representative_Docs
-1,6201,-1_business_products_operations_financial,"['business', 'products', 'operations', 'financial', 'results', 'customers', 'result', 'including', 'adversely', 'affect']","['Any such changes may have an adverse effect on our business, results of operations, or financial condition.', 'Risks Related to Accounting, Compliance, Regulation and Taxfailure to maintain effective internal control over financial reporting could adversely affect the accuracy and timing of our financial reporting; if our critical accounting policies are based on incorrect assumptions, our results of operations could fall below analyst and investor expectations and result in a decline in the market price of our common stock; enhanced US. tax, tariff, import/export restrictions or other trade barriers may negatively affect our business; changes in our effective tax rate or new tax laws could adversely affect our results; failure to comply with government laws and regulations could harm our business; we are subject to governmental export and import controls that could impair our ability to compete in international markets or subject us to liability for violations.', 'Each of these difficulties could materially adversely affect our business and results of operations.']"
0,1001,0_products_customers_adversely_demand,"['products', 'customers', 'adversely', 'demand', 'unable', 'components', 'content', 'services', 'new', 'results']","['If we are unable to anticipate future technological shifts, market needs, requirements or opportunities, or fail to develop and introduce new products, product enhancements or business strategies to meet those requirements or opportunities in a timely manner or at all, it could cause us to lose customers, substantially decrease or delay market acceptance and sales of our present and future products and services, and significantly harm our business, financial condition, and results of operations.', 'If we are unable to anticipate technological changes in our industry by introducing new or enhanced products and services in a timely and cost-effective manner, if we fail to introduce products and services that meet market demand, or if we do not successfully expand into adjacent markets, we may lose our competitive position, our products may become obsolete, and our business, financial condition or results of operations could be adversely affected.', 'If we are unable to attract new customers, our business, financial condition and results of operations will be adversely affected.']"
1,964,1_risks_business_operations_laws,"['risks', 'business', 'operations', 'laws', 'regulations', 'results', 'financial condition', 'condition', 'financial', 'results operations']","['Any of the foregoing could adversely affect our business, financial condition and results of operations.', 'Our current and future international business and operations involve a variety of risks, including: slower than anticipated availability and adoption of cloud and hybrid IT infrastructures by international businesses; changes in a specific countrys or regions political or economic conditions; the need to adapt and localize our products for specific countries; greater difficulty collecting accounts receivable and longer payment cycles; potential changes in trade relations, regulations, or laws; unexpected changes in laws, regulatory requirements, or tax laws; 31 more stringent regulations relating to privacy and data security and the unauthorized use of, or access to, commercial and personal information, particularly in Europe; differing and potentially more onerous labor regulations, especially in Europe, where labor laws are generally more advantageous to employees as compared to the United States, including deemed hourly wage and overtime regulations in these locations; challenges inherent in efficiently managing, and the increased costs associated with, an increased number of employees over large geographic distances, including the need to implement appropriate systems, policies, benefits, and compliance programs that are specific to each jurisdiction; potential changes in laws, regulations and costs affecting our U. K. operations and local employees due to Brexit; difficulties in managing a business in new markets with diverse cultures, languages, customs, legal systems, alternative dispute systems, and regulatory systems; increased travel, real estate, infrastructure, and legal compliance costs associated with international operations; currency exchange rate fluctuations and the resulting effect on our revenue and expenses, and the cost and risk of entering into hedging transactions if we chose to do so in the future; limitations on our ability to reinvest earnings from operations in one country to fund the capital needs of our operations in other countries; laws and business practices favoring local competitors or general market preferences for local vendors; limited or insufficient intellectual property protection or difficulties obtaining, maintaining, protecting or enforcing our intellectual property rights, including our trademarks and patents; political instability or terrorist activities; an outbreak of a contagious disease, which may cause us or our third-party providers and/or customers to temporarily suspend our or their respective operations in the affected city or country; exposure to liabilities under anti-corruption and anti-money laundering laws, including the FCPA, US. bribery laws, the UK Bribery Act, and similar laws and regulations in other jurisdictions; and adverse tax burdens and foreign exchange controls that could make it difficult to repatriate earnings and cash.', 'These international operations will require significant management attention and financial resources and are subject to substantial risks, including: greater difficulty in negotiating contracts with standard terms, enforcing contracts and managing collections, and longer collection periods; higher costs of doing business internationally, including costs incurred in establishing and maintaining office space and equipment for our international operations; management communication and integration problems resulting from cultural and geographic dispersion; risks associated with trade restrictions and foreign legal requirements, including any importation, certification, and localization of our Falcon platform that may be required in foreign countries; greater risk of unexpected changes in regulatory practices, tariffs, and tax laws and treaties; compliance with anti-bribery laws, including, without limitation, compliance with the US. Foreign Corrupt Practices Act of 1977, as amended, or FCPA the US. Travel Act and the UK Bribery Act 2010, or Bribery Act, violations of which could lead to significant fines, penalties, and collateral consequences for our company; heightened risk of unfair or corrupt business practices in certain geographies and of improper or fraudulent sales arrangements that may impact financial results and result in restatements of, or irregularities in, financial statements; the uncertainty of protection for intellectual property rights in some countries; general economic and political conditions in these foreign markets; foreign exchange controls or tax regulations that might prevent us from repatriating cash earned outside the United States; political and economic instability in some countries; double taxation of our international earnings and potentially adverse tax consequences due to changes in the tax laws of the United States or the foreign jurisdictions in which we operate; 32Table of Contentsunexpected costs for the localization of our services, including translation into foreign languages and adaptation for local practices and regulatory requirements; requirements to comply with foreign privacy, data protection, and information security laws and regulations and the risks and costs of noncompliance; greater difficulty in identifying, attracting and retaining local qualified personnel, and the costs and expenses associated with such activities; greater difficulty identifying qualified channel partners and maintaining successful relationships with such partners; differing employment practices and labor relations issues; anddifficulties in managing and staffing international offices and increased travel, infrastructure, and legal compliance costs associated with multiple international locations.']"
2,662,2_security_data_systems_reputation,"['security', 'data', 'systems', 'reputation', 'attacks', 'information', 'customers', 'access', 'errors', 'unauthorized']","['The following factors, many of which are beyond our control, can affect the delivery, availability, and the performance of our Falcon platform: the development and maintenance of the infrastructure of the internet; the performance and availability of third-party providers of cloud infrastructure services, such as AWS, with the necessary speed, data capacity and security for providing reliable internet access and services; decisions by the owners and operators of the data centers where our cloud infrastructure is deployed to terminate our contracts, discontinue services to us, shut down operations or facilities, increase prices, change service levels, limit bandwidth, declare bankruptcy or prioritize the traffic of other parties; physical or electronic break-ins, acts of war or terrorism, human error or interference (including by disgruntled employees, former employees or contractors) and other catastrophic events; cyberattacks, including denial of service attacks, targeted at us, our data centers, or the infrastructure of the internet; failure by us to maintain and update our cloud infrastructure to meet our data capacity requirements; errors, defects or performance problems in our software, including third-party software incorporated in our software; improper deployment or configuration of our solutions; the failure of our redundancy systems, in the event of a service disruption at one of our data centers, to provide failover to other data centers in our data center network; andthe failure of our disaster recovery and business continuity arrangements.', 'We Could Be Harmed by Data Loss or Other Security BreachesBecause we collect, process, store, and transmit large amounts of data, including confidential, sensitive, proprietary, and business and personal information, failure to prevent or mitigate data loss, theft, misuse, or other security breaches or vulnerabilities affecting our or our vendors or customers technology, products, and systems, could: expose us or our customers to a risk of loss, disclosure, or misuse of such information; adversely affect our operating results; result in litigation, liability, or regulatory action (including under laws related to privacy, data protection, data security, network security, and consumer protection); deter customers or sellers from using our stores and services; and otherwise harm our business and reputation.', 'Accordingly, if our cybersecurity systems and measures or those of any of the aforementioned third parties fail to protect against sophisticated cyber-attacks, the mishandling of data by employees and contractors, or any other means of unauthorized access to, or use of, our manufacturing process, products, services, networks, systems, or data that we or such third parties maintain, operate, or process, our ability to conduct our business effectively could be damaged in a number of ways, including: sensitive data regarding our business or our customers, including intellectual property and other proprietary data, could be stolen; our electronic communications systems, including email and other methods, or other systems, could be disrupted, and our ability to conduct our business operations could be seriously damaged until such systems can be restored, which we may be unable to achieve in a prompt manner or at all; our ability to process customer orders and electronically deliver products and services could be degraded, and our distribution channels could be disrupted, resulting in delays in revenue recognition; defects and security vulnerabilities could be introduced into our software, thereby damaging the reputation and perceived reliability and security of our products and potentially making the data systems of our customers vulnerable to further data loss and cyber incidents; our manufacturing process, products, services, supply chain, network systems and data could be corrupted; andpersonal data of our customers, employees, contractors, and business partners could be accessed, obtained, or used without authorization, or otherwise compromised.']"
3,482,3_intellectual_intellectual property_property_rights,"['intellectual', 'intellectual property', 'property', 'rights', 'property rights', 'patents', 'patent', 'infringement', 'protect', 'proprietary']","['We may have difficulty obtaining patents and other intellectual property rights to protect our proprietary products, technology and intellectual property, and the patents and other intellectual property rights we receive may be insufficient to provide us with meaningful protection or commercial advantage.', 'We Face Risks Related to Adequately Protecting Our Intellectual Property Rights and Being Accused of Infringing Intellectual Property Rights of Third PartiesWe regard our trademarks, service marks, copyrights, patents, trade dress, trade secrets, proprietary technology, and similar intellectual property as critical to our success, and we rely on trademark, copyright, and patent law, trade secret protection, and confidentiality and/or license agreements with our employees, customers, and others to protect our proprietary rights.', 'RISKS RELATED TO OUR INTELLECTUAL PROPERTY AND PLATFORM DEVELOPMENTIt may be difficult and costly to protect our intellectual property rights, and we may not be able to ensure their protection.']"
4,467,4_stock_price_common_common stock,"['stock', 'price', 'common', 'common stock', 'market', 'price common', 'market price', 'trading', 'trading price', 'decline']","['In that event, the market price of our common stock could decline, and you could lose part or all of your investment.', 'In such case, the trading price of our common stock could decline.', 'As a result, the trading price of our common stock could decline and you could lose part or all of your investment.']"
5,416,5_loans_debt_indebtedness_loan,"['loans', 'debt', 'indebtedness', 'loan', 'bank', 'credit', 'default', 'bank partners', 'borrowers', 'obligations']","['If our AI models are unable to accurately reflect the credit risk of loans under such economic conditions, our bank partners, investors in our loan funding programs and we may experience greater than expected losses on such loans, which would harm our reputation and erode the trust we have built with our bank partners and investors in our loan funding programs.', 'Additionally, errors or inaccuracies in our AI models could result in any person exposed to the credit risk of Upstart-powered loans, whether it be us, our bank partners or investors in our loan funding programs, experiencing higher than expected losses or lower than desired returns, which could impair our ability to retain existing or attract new bank partners and investors to participate in our loan funding programs, reduce the number, or limit the types, of loans bank partners and investors are willing to fund, and limit our ability to increase commitments under our warehouse and other debt facilities.', 'If we fail to successfully build trust in our AI lending platform and the performance and predictability of Upstart-powered loans, we may lose existing bank partners and investors in our loan funding programs to our competitors or be unable to attract new bank partners and investors in our loan funding programs, which in turn would harm our business, results of operations and financial condition.']"
6,401,6_act_investment_provisions_company,"['act', 'investment', 'provisions', 'company', 'investment company', 'delaware', 'funds', 'certain', 'requirements', 'law']","['Our status as a Delaware corporation and the anti-takeover provisions of the Delaware General Corporation Law may discourage, delay, or prevent a change in control by prohibiting us from engaging in a business combination with an interested stockholder for a period of three years after the person becomes an interested stockholder, even if a change of control would be beneficial to our existing stockholders.', 'Our status as a Delaware corporation and the anti-takeover provisions of the Delaware General Corporation Law may discourage, delay, or prevent a change in control by prohibiting us from engaging in a business combination with an interested stockholder for a period of three years after the person becomes an interested stockholder, even if a change of control would be beneficial to our existing stockholders.', 'In particular, certain laws, regulations and rules we or our bank partners are subject to include: state lending laws and regulations that require certain parties to hold licenses or other government approvals or filings in connection with specified activities, and impose requirements related to loan disclosures and terms, fees and interest rates, credit discrimination, credit reporting, servicemember relief, debt collection, repossession, unfair or deceptive business practices and consumer protection, as well as other state laws relating to privacy, information security, conduct in connection with data breaches and money transmission; the Truth-in-Lending Act and Regulation Z promulgated thereunder, and similar state laws, which require certain disclosures to borrowers regarding the terms and conditions of their loans and credit transactions, require creditors to comply with certain lending practice restrictions, limit the ability of a creditor to impose certain loan terms and impose disclosure requirements in connection with credit card origination; the Equal Credit Opportunity Act and Regulation B promulgated thereunder, and similar state fair lending laws, which prohibit creditors from discouraging or discriminating against credit applicants on the basis of race, color, sex, age, religion, national origin, marital status, the fact that all or part of the applicants income derives from any public assistance program or the fact that the applicant has in good faith exercised any right under the federal Consumer Credit Protection Act; the Fair Credit Reporting Act and Regulation V promulgated thereunder, imposes certain obligations on users of consumer reports and those that furnish information to consumer reporting agencies, including obligations relating to obtaining consumer reports, marketing using consumer reports, taking adverse action on the basis of information from consumer reports, addressing risks of identity theft and fraud and protecting the privacy and security of consumer reports and consumer report information; Section 5 of the Federal Trade Commission Act, which prohibits unfair and deceptive acts or practices in or affecting commerce, and Section 1031 of the Dodd-Frank Act, which prohibits unfair, deceptive or abusive acts or practices in connection with any consumer financial product or service, and analogous state laws prohibiting unfair, deceptive or abusive acts or practices; the Credit Practices Rule which (i) prohibits lenders from using certain contract provisions that the Federal Trade Commission has found to be unfair to consumers; (ii) requires lenders to advise consumers who co-sign obligations about their potential liability if the primary obligor fails to pay; and (iii) prohibits certain late charges; the Fair Debt Collection Practices Act, Regulation F (including new federal requirements set to take effect November 30, 2021), and similar state debt collection laws, which provide guidelines and limitations on the conduct of third-party debt collectors (and some limitation on creditors collecting their own debts) in connection with the collection of consumer debts; 58the Gramm-Leach-Bliley Act and Regulation P promulgated thereunder, which includes limitations on financial institutions disclosure of nonpublic personal information about a consumer to nonaffiliated third parties, in certain circumstances requires financial institutions to limit the use and further disclosure of nonpublic personal information by nonaffiliated third parties to whom they disclose such information and requires financial institutions to disclose certain privacy notices and practices with respect to information sharing with affiliated and unaffiliated entities as well as to safeguard personal borrower information, and other privacy laws and regulations; the Bankruptcy Code, which limits the extent to which creditors may seek to enforce debts against parties who have filed for bankruptcy protection; the Servicemembers Civil Relief Act, which allows military members to suspend or postpone certain civil obligations, requires creditors to reduce the interest rate to 6% on loans to military members under certain circumstances, and imposes restrictions on enforcement of loans to servicemembers, so that the military member can devote his or her full attention to military duties; the Military Lending Act, which requires those who lend to covered borrowers, including members of the military and their dependents, to only offer Military APRs (a specific measure of all-in-cost-of-credit) under 36%, prohibits arbitration clauses in loan agreements, and prohibits certain other loan agreement terms and lending practices in connection with loans to military servicemembers, among other requirements, and for which violations may result in penalties including voiding of the loan agreement; the Electronic Fund Transfer Act and Regulation E promulgated thereunder, which provide guidelines and restrictions on the electronic transfer of funds from consumers bank accounts, including a prohibition on a creditor requiring a consumer to repay a credit agreement in preauthorized (recurring) electronic fund transfers and disclosure and authorization requirements in connection with such transfers; the Telephone Consumer Protection Act and the regulations promulgated thereunder, which impose various consumer consent requirements and other restrictions in connection with telemarketing activity and other communication with consumers by phone, fax or text message, and which provide guidelines designed to safeguard consumer privacy in connection with such communications; the Federal Controlling the Assault of Non-Solicited Pornography and Marketing Act of 2003 and the Telemarketing Sales Rule and analogous state laws, which impose various restrictions on marketing conducted use of email, telephone, fax or text message; the Electronic Signatures in Global and National Commerce Act and similar state laws, particularly the Uniform Electronic Transactions Act, which authorize the creation of legally binding and enforceable agreements utilizing electronic records and signatures and which require creditors and loan servicers to obtain a consumers consent to electronically receive disclosures required under federal and state laws and regulations; the Right to Financial Privacy Act and similar state laws enacted to provide the financial records of financial institution customers a reasonable amount of privacy from government scrutiny; the Bank Secrecy Act and the USA PATRIOT Act, which relate to compliance with anti-money laundering, borrower due diligence and record-keeping policies and procedures; the regulations promulgated by the Office of Foreign Assets Control under the US. Treasury Department related to the administration and enforcement of sanctions against foreign jurisdictions and persons that threaten US. foreign policy and national security goals, primarily to prevent targeted jurisdictions and persons from accessing the US. financial system; federal and state securities laws, including, among others, the Securities Act of 1933, as amended, or the Securities Act, the Exchange Act, the Investment Advisers Act of 1940, as amended, or the IAA, and the Investment Company Act of 1940, as amended, or the Investment Company Act, rules and regulations adopted under those laws, and similar state laws and regulations, which govern how we offer, sell and transact in our loan financing products; andother state-specific and local laws and regulations.']"
7,388,7_pandemic_covid 19_19_covid,"['pandemic', 'covid 19', '19', 'covid', '19 pandemic', 'impact', 'spread', 'global', 'supply', 'travel']","['The Covid-19 pandemic may negatively impact our business, results of operations and financial performance.', 'Risks Related to the COVID-19 Pandemic The ongoing COVID-19 pandemic and any related economic downturn could negatively impact our business, financial condition and results of operations.', 'Due to the duration of the pandemic, the uncertainty around vaccination deployment with respect to the COVID-19 pandemic, the uncertainty around the impact of new strains of COVID-19 and uncertain timing of a global recovery, we are unable to predict the full impact of the COVID-19 pandemic on our business operations and financial performance.']"
8,348,8_income_funds_tax_stockholders,"['income', 'funds', 'tax', 'stockholders', 'investment', 'stock', 'taxable', 'equity', 'common', 'common stock']","['However, there are certain exceptions to this rule, including: (i) part of the income and gain recognized by certain qualified employee pension trusts with respect to our common stock may be treated as unrelated business taxable income if we become a pension held REIT and such qualified employee pension trust owns more than 10% of our common stock (ii) part of the income and gain recognized by a tax-exempt investor with respect to our common stock would constitute unrelated business taxable income if the investor incurs debt in order to acquire the common stock; (iii) part or all of the income or gain recognized with respect to our common stock by social clubs, voluntary employee benefit associations, supplemental unemployment benefit trusts and qualified group legal services plans which are exempt from federal income taxation under the Code may be treated as unrelated business taxable income; and (iv) to the extent that we are (or a part of us, or a disregarded subsidiary of ours, is) a taxable mortgage pool, (or if we hold residual interests in a REMIC), a portion of the distributions paid to a tax-exempt stockholder that is allocable to excess inclusion income may be treated as unrelated business taxable income.', 'As a result, if we earn net taxable income, our ability to use our pre-change net operating loss carryforwards to offset US. federal taxable income may be subject to limitations, which could potentially result in increased future tax liability to us.', 'Under Sections 382 and 383 of the Internal Revenue Code of 1986, as amended, or the IRC, if a corporation undergoes an ownership change, generally defined as a greater than 50% change (by value) in its equity ownership over a three-year period, the corporations ability to use its pre-change net operating loss carryforwards, or NOL carryforwards, and other pre-change tax attributes (such as research tax credits) to offset its post-change income may be limited.']"
