Topic,Count,Name,Representation,Representative_Docs
-1,1571,-1_costs_operations_result_production,"['costs', 'operations', 'result', 'production', 'results', 'ability', 'impact', 'gas', 'financial', 'oil', 'wells', 'business']","['Moreover, there is a risk that we could ultimately be liable for unknown obligations related to acquisitions, which could materially adversely affect our financial condition, results of operations or cash flows.', ""The value of our investment in Equitrans Midstream may be adversely affected by negative changes in its results of operations, cash flows and financial position, which may occur as a result of the many risks attendant with operating in the midstream industry, including loss of gathering and transportation volumes, the effect of laws and regulations on the operation of its business and development of its assets, increased competition, loss of contracted volumes, adverse rate-making decisions, policies and rulings by the FERC, pipeline safety rulemakings initiated or finalized by the Department of Transportation's Pipeline and Hazardous Materials Safety Administration, delays in the timing of, or the failure to complete, expansion projects, lack of access to capital and operating risks and hazards."", ""Accordingly, we are subject to the business risks of EQM, including the following: federal, state and local regulatory, political and legal actions that could adversely affect EQM's operations, assets and infrastructure, including potential further delays associated with obtaining regulatory approval for the construction of the Mountain Valley Pipeline and the MVP Southgate project; construction risks associated with the construction or repair of EQM's pipelines and other midstream infrastructure, such as delays caused by landowners or advocacy groups opposed to the natural gas industry, environmental hazards, adverse weather conditions, the performance of third-party contractors, the lack of available skilled labor, equipment and materials and the inability to obtain necessary rights-of-way or approvals and permits from regulatory agencies on a timely basis or at all (and maintain such rights-of-way, approvals and permits once obtained); acts of cybersecurity, sabotage or eco-terrorism that could cause significant damage or injury to EQM's personnel, assets or infrastructure or lead to extended interruptions ofEQM'soperations; risks associated with EQM failing to properly balance supply and demand for its services, on a short-term, seasonal and long-term basis, which could result in EQM being unable to provide its customers, including us, with sufficient access to pipeline and other midstream infrastructure and water services as needed; andrisks associated with EQM's leverage and financial profile, which could result in EQM being financially deterred or prohibited from providing services to its customers, including us, on a timely basis or at all.""]"
0,95,0_cyber_information_systems_data,"['cyber', 'information', 'systems', 'data', 'attacks', 'disruptions', 'unauthorized', 'security', 'unauthorized access', 'corruption', 'infrastructure', 'disruption']","['In particular, cyber-security attacks are evolving and include, but are not limited to, malicious software, attempts to gain unauthorized access to data, and other electronic security breaches that could lead to disruptions in critical systems, unauthorized release of confidential or otherwise protected information and corruption of data.', 'Cyber-attacks are becoming more sophisticated and include, but are not limited to, malicious software, phishing, ransomware, attempts to gain unauthorized access to data, and other electronic security breaches that could lead to disruptions in critical systems, unauthorized release of confidential or otherwise protected information and corruption of data.', 'A cyber-attack involving our information or industrial control systems and related infrastructure, or that of our business associates, could negatively impact our operations in a variety of ways, including but not limited to, the following: Unauthorized access to seismic data, reserves information, strategic information, or other sensitive or proprietary information could have a negative impact on our ability to compete for oil and natural gas resources; Data corruption, communication or systems interruption or other operational disruption during drilling activities could result in delays and failure to reach the intended target or cause a drilling incident; OXY2019 FORM 10-K9RISK FACTORSData corruption, communication or systems interruption or operational disruptions of production-related infrastructure could result in a loss of production or accidental discharge; A cyber-attack on our chemical operations could result in a disruption of the manufacturing and marketing of our products or a potential environmental hazard; A cyber-attack on a vendor or service provider could result in supply chain disruptions, which could delay or halt our construction and development projects; A cyber-attack on third-party gathering, pipeline, processing, or other infrastructure systems could delay or prevent us from transporting, processing and marketing our production; A cyber-attack involving commodities exchanges or financial institutions could slow or halt commodities trading, thus preventing us from marketing our production or engaging in hedging activities; A cyber-attack that halts activities at a power generation facility or refinery using natural gas as feedstock could have a significant impact on the natural gas market; A cyber-attack on a communications network or power grid could cause operational disruption; A cyber-attack on our automated and surveillance systems could cause a loss in production and potential environmental hazards; A deliberate corruption of our financial or operating data could result in events of non-compliance which could then lead to regulatory fines or penalties; andA cyber-attack resulting in the loss or disclosure of, or damage to, our or any of our customers or suppliers data or confidential information could harm our business by damaging our reputation, subjecting us to potential financial or legal liability, and requiring us to incur significant costs, including costs to repair or restore our systems and data or to take other remedial steps.']"
1,94,1_competition_competitors_intense_competitive,"['competition', 'competitors', 'intense', 'competitive', 'greater', 'substantially greater', 'resources', 'industry', 'industry intense', 'new technologies', 'financial technical', 'technologies']","['Competition in our industry is intense, and many of our competitors have greater financial, technical, and human resources than we do.', 'Competition in our industry is intense, and many of our competitors have substantially greater financial resources than we do, which could adversely affect our competitive position.', 'Competition in our industry is intense, and many of our competitors have substantially greater financial and technological resources than we do, which could adversely affect our competitive position.']"
2,77,2_insurance_coverage_insured_insurance coverage,"['insurance', 'coverage', 'insured', 'insurance coverage', 'maintain', 'cover', 'losses', 'maintain insurance', 'risks', 'adequate', 'claims', 'insurance policies']","['We do not maintain insurance coverage against all potential losses and could suffer losses for uninsurable or uninsured risks or in amounts in excess of existing insurance coverage.', 'To mitigate financial losses resulting from these operational hazards, we maintain comprehensive general liability insurance, as well as insurance coverage against certain losses resulting from physical damages, loss of well control, business interruption and pollution events that are considered sudden and accidental.', 'In addition, these policies do not provide coverage for all liabilities, and we cannot assure you that the insurance coverage will be adequate to cover claims that may arise, or that we will be able to maintain adequate insurance at rates we consider reasonable.']"
3,75,3_eqm_agreements_petroleum contracts_jubilee,"['eqm', 'agreements', 'petroleum contracts', 'jubilee', 'unit', 'petroleum', 'enter', 'drill', 'interests', 'uuoa', 'blocks', 'respective interests']","['The respective interests in the Greater Tortue Ahmeyim Unit were therefore initially determined by the respective interests in such contributed block interests.', 'The parties to the GTA UUOA, the collective interest holders in each of the Mauritania Block C8 and Senegal Saint Louis Offshore Profond blocks, initially agreed that interests in the Greater Tortue Ahmeyim Unit will be shared equally, with each block deemed to contribute 50% of the area of such unit.', 'The parties to the Jubilee UUOA, the collective interest holders in each of the WCTP and DT Blocks, initially agreed that interests in the Jubilee Unit will be shared equally, with each block deemed to contribute 50% of the area of such unit.']"
4,69,4_material adverse_adverse effect_material_results operations,"['material adverse', 'adverse effect', 'material', 'results operations', 'adverse', 'effect', 'results', 'financial condition', 'effect business', 'condition', 'condition results', 'financial']","['Any of these consequences could have a material adverse effect on our financial condition and results of operations.', 'Any of these consequences could have a material adverse effect on us, our financial condition and our results of operations.', 'Any of these consequences could have a material adverse effect on our business, financial condition and results of operations.']"
5,65,5_covenants_governing_notes_senior,"['covenants', 'governing', 'notes', 'senior', 'governing senior', 'senior notes', 'debt', 'facility', 'indentures', 'credit', 'indenture', 'indentures governing']","['A breach of any of these covenants could result in an event of default under our Credit Agreement, the San Mateo Credit Facility and the indenture governing our outstanding senior notes.', 'Our commercial debt facility, revolving credit facility and indenture governing the Senior Notes include certain covenants that, among other things, restrict: our investments, loans and advances and certain of our subsidiaries payment of dividends and other restricted payments; our incurrence of additional indebtedness; the granting of liens, other than liens created pursuant to the commercial debt facility, revolving credit facility or the indenture governing the Senior Notes and certain permitted liens; mergers, consolidations and sales of all or a substantial part of our business or licenses; the hedging, forward sale or swap of our production of crude oil or natural gas or other commodities; the sale of assets (other than production sold in the ordinary course of business); andin the case of the commercial debt facility and the revolving credit facility, our capital expenditures that we can fund with the proceeds of our commercial debt facility, and revolving credit facility.', 'The breach of any of these covenants could result in a default under our commercial debt facility, revolving credit facility and indenture governing the Senior Notes, in which case, depending on the actions taken by the lenders thereunder or their successors or assignees, such lenders could elect to declare all amounts borrowed under our commercial debt facility, revolving credit facility and indenture governing the Senior Notes, together with accrued interest, to be due and payable.']"
6,63,6_prices_commodity prices_lower_commodity,"['prices', 'commodity prices', 'lower', 'commodity', 'decline', 'extended', 'low', 'sustained', 'substantial extended', 'financial condition', 'condition', 'prices oil']","['Risks related to the crude oil and natural gas industry and our business A substantial or extended decline in commodity prices, in crude oil and, to a lesser extent, natural gas and NGL prices may adversely affect our business, financial condition or results of operations and our ability to meet our capital expenditure obligations and financial commitments.', 'Any substantial or extended decline in future commodity prices would have, a material adverse effect on our future business, financial condition, results of operations, cash flows, liquidity or ability to finance planned capital expenditures and commitments.', 'Prolonged or substantial decline, or sustained market uncertainty, in these commodity prices may have the following effects on Occidentals business: Adversely affect Occidentals financial condition, liquidity, ability to reduce debt, pay dividends, finance planned capital expenditures, ability to repurchase shares and results of operations; Reduce the amount of oil, natural gas and NGLs that Occidental can produce economically; Cause Occidental to delay or postpone some of its capital projects; Reduce Occidentals revenues, operating income or cash flows; Reduce the amounts of Occidentals estimated proved oil, natural gas and NGL reserves; Reduce the carrying value of Occidentals oil and natural gas properties due to recognizing impairments of proved properties, unproved properties and exploration assets; Reduce the standardized measure of discounted future net cash flows relating to oil, natural gas and NGL reserves; Limit Occidentals access to, or increase the cost of, sources of capital such as equity and long-term debt; andAdversely affect the ability of Occidentals partners to fund their working interest capital requirements.']"
7,62,7_fracturing_hydraulic_hydraulic fracturing_fracturing process,"['fracturing', 'hydraulic', 'hydraulic fracturing', 'fracturing process', 'disclosure', 'used hydraulic', 'states', 'chemicals used', 'local', 'colorado', 'adopted', 'considering']","['In addition, from time to time Congress has considered, but not adopted, legislation to provide for federal regulation of hydraulic fracturing under the SDWA and to require disclosure of the chemicals used in the hydraulic fracturing process.', 'Moreover, several states in which we operate have adopted, or stated intentions to adopt, laws or regulations that mandate further restrictions on hydraulic fracturing, such as requiring disclosure of chemicals used in hydraulic fracturing, imposing more stringent permitting, disclosure and well-construction requirements on hydraulic fracturing operations and establishing standards for the capture of air emissions released during hydraulic fracturing.', 'Some states have adopted, and other states are considering adopting, regulations that could restrict hydraulic fracturing in certain circumstances, impose additional requirements on hydraulic fracturing activities or otherwise require the public disclosure of chemicals used in the hydraulic fracturing process.']"
8,61,8_laws regulations_health safety_state local_laws,"['laws regulations', 'health safety', 'state local', 'laws', 'operations subject', 'description', 'regulations', 'federal state', 'health', 'local laws', 'local', 'safety']","['Our operations are subject to federal, state and local laws, regulations and potential liabilities arising under or relating to the protection or preservation of the environment, natural resources and human health and safety.', 'Our crude oil and natural gas E&P operations, midstream operations, well servicing operations and related operations are subject to stringent federal, tribal, regional, state and local laws and regulations governing occupational health and safety aspects, the discharge of materials into the environment or otherwise relating to environmental protection.', 'Our operations are subject to extensive federal, state and local laws and regulations, including drilling, permitting and safety laws and regulations and those relating to the generation, storage, handling, emission, transportation and discharge of materials into the environment.']"
