Name,Representation,Count,ESG_Categories
5_unrecognized_unrecognized tax_tax_tax benefits,"unrecognized,unrecognized tax,tax,tax benefits,transition tax,penalties,transition,income tax,penalties related,related unrecognized,act,repatriation",122,Governance
11_cloud_data_networking_security,"cloud,data,networking,security,network,platforms,applications,data cloud,ai,falcon platform,platform,connect",80,Governance
13_covenants_compliance_financial covenants_compliance covenants,"covenants,compliance,financial covenants,compliance covenants,governing,comcast,covenant,liens,ratio,credit agreement,nbcuniversal comcast,2020 compliance",78,Governance
26_laws_regulations_self driving_driving,"laws,regulations,self driving,driving,vehicles,driving vehicles,self,dealer,regulatory,states,nhtsa,jurisdictions",66,Governance
27_million stock_based compensation_stock based_compensation expense,"million stock,based compensation,stock based,compensation expense,compensation,stock,fiscal year,based,expense fiscal,primarily recognition,expense,change total",64,Governance
50_performance obligations_distinct_contract_multiple performance,"performance obligations,distinct,contract,multiple performance,identify,obligations contract,contract customer,performance,performance obligation,contracts,obligations,obligation",48,"Environmental,Governance"
55_assurance_assurance given_outcome matters_final tax,"assurance,assurance given,outcome matters,final tax,tax outcome,outcome,reserved,adequately,final,matters different,matters,given",45,Governance
61_9million_million higher_million including_utilities,"9million,million higher,million including,utilities,expenses million,compliance,14 million,certain compliance,associated disposition,billion 12,compared outflow,gen",40,Governance
70_fcc_broadband_fccs_broadband services,"fcc,broadband,fccs,broadband services,information services,telecommunications,services information,decision,state,rules,2020 fcc,adopted",38,Governance
98_foreign jurisdictions_jurisdictions_income taxes_taxes,"foreign jurisdictions,jurisdictions,income taxes,taxes,subject income,conduct business,jurisdictions conduct,federal state,foreign,conduct,income taxeswe,state",32,Governance
123_likely fair_value reporting_qualitative_reporting unit,"likely fair,value reporting,qualitative,reporting unit,reporting,carrying,unit,likely,qualitative assessment,determine likely,unit carrying,carrying value",28,Governance
157_investment policy_policy_provide flexibility_cash required,"investment policy,policy,provide flexibility,cash required,returns cash,maintain adequate,diversify,required maintain,portion cash,maximize,shorter term,term fixed",25,Governance
164_risk factors_1a_item 1a_1a risk,"risk factors,1a,item 1a,1a risk,risk,factors,item,factors item,1a form,risks,additional details,refer risk",24,"Environmental,Governance"
165_dividend_cash dividend_declared quarterly_declared,"dividend,cash dividend,declared quarterly,declared,quarterly cash,quarterly,quarterly dividend,directors declared,board,board directors,directors,cash dividends",24,Governance
180_dividends_board_approval board_board directors,"dividends,board,approval board,board directors,subject approval,directors,dividend,approval,future dividends,fee related,determination,dividends subject",23,Governance
185_repurchase_repurchase program_repurchase programs_share repurchase,"repurchase,repurchase program,repurchase programs,share repurchase,program,board directors,directors,board,directors approved,stock repurchase,approved new,resulting issuance",22,Governance
